runid: 21342447
CPUs available: 56
Disorder: (0.0005, 1)
Disorder size: 1
Unoptimised score: 23.011523826022717
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=485288, Sun Mar 30 14:38:03 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.252703685600893e+01 1.0e+00 4.69e-01  4e-01  5e-01 10:32.4
    2    112 2.233283778011154e+01 1.3e+00 4.38e-01  4e-01  4e-01 21:08.9
    3    168 2.172359269937892e+01 1.3e+00 4.51e-01  4e-01  4e-01 31:46.9
    4    224 2.181388304169253e+01 1.5e+00 4.32e-01  3e-01  4e-01 42:23.2
    5    280 2.162092034237940e+01 1.6e+00 4.28e-01  3e-01  4e-01 52:53.9
    6    336 2.174933350973979e+01 1.6e+00 4.82e-01  3e-01  4e-01 63:29.4
    7    392 2.199643298832225e+01 1.7e+00 4.41e-01  3e-01  4e-01 74:03.4
    8    448 2.171655668671210e+01 1.7e+00 4.31e-01  3e-01  3e-01 84:35.5
    9    504 2.145076460527380e+01 1.6e+00 4.39e-01  3e-01  3e-01 95:10.6
   10    560 2.074769821038371e+01 1.7e+00 4.19e-01  3e-01  3e-01 105:43.9
   11    616 2.096453566687081e+01 1.9e+00 4.22e-01  2e-01  3e-01 116:19.6
   12    672 2.149521188926849e+01 1.8e+00 4.14e-01  2e-01  3e-01 126:56.9
   13    728 2.124875566554933e+01 1.9e+00 3.90e-01  2e-01  3e-01 137:30.5
   14    784 2.140073727692364e+01 1.8e+00 3.99e-01  2e-01  3e-01 148:08.3
   15    840 2.107563822026991e+01 1.8e+00 3.90e-01  2e-01  2e-01 158:41.2
   16    896 2.109507944845159e+01 1.7e+00 3.82e-01  2e-01  2e-01 169:17.7
   17    952 2.047001922598793e+01 1.5e+00 4.17e-01  2e-01  2e-01 179:54.6
   18   1008 2.067737843988967e+01 1.7e+00 3.81e-01  2e-01  2e-01 190:30.8
   19   1064 2.068928253312863e+01 1.8e+00 4.46e-01  2e-01  2e-01 201:05.7
   20   1120 2.081959910410298e+01 2.1e+00 4.45e-01  2e-01  2e-01 211:43.8
   21   1176 2.086896917106323e+01 2.1e+00 4.35e-01  2e-01  2e-01 222:14.2
   22   1232 2.042468952911129e+01 2.0e+00 4.31e-01  2e-01  2e-01 232:51.6
   23   1288 2.079020555614336e+01 2.2e+00 4.07e-01  1e-01  2e-01 243:20.5
   24   1344 2.053952507615755e+01 2.4e+00 3.61e-01  1e-01  2e-01 253:52.8
   25   1400 2.061222803571390e+01 2.6e+00 3.72e-01  1e-01  2e-01 264:27.8
   26   1456 2.040699928599587e+01 2.6e+00 3.64e-01  1e-01  2e-01 275:02.6
   27   1512 2.053621401109970e+01 2.7e+00 3.19e-01  8e-02  1e-01 285:32.2
   28   1568 2.032170521890696e+01 2.7e+00 3.75e-01  9e-02  2e-01 296:04.9
   29   1624 2.019828026052627e+01 3.0e+00 3.73e-01  9e-02  2e-01 306:38.2
   30   1680 2.020607178071582e+01 3.0e+00 3.89e-01  1e-01  2e-01 317:10.5
   31   1736 2.019456117251947e+01 3.4e+00 3.57e-01  8e-02  2e-01 327:48.0
   32   1792 2.016080808983343e+01 3.4e+00 3.41e-01  7e-02  1e-01 338:26.0
   33   1848 2.022207208291194e+01 3.2e+00 2.91e-01  6e-02  1e-01 349:03.4
   34   1904 2.001118913951505e+01 3.4e+00 3.18e-01  6e-02  1e-01 359:35.1
   35   1960 2.000869839393978e+01 3.7e+00 3.03e-01  5e-02  1e-01 370:12.6
   36   2016 1.990212289365052e+01 3.9e+00 3.33e-01  5e-02  1e-01 380:46.1
   37   2072 1.992950640654574e+01 4.3e+00 3.09e-01  5e-02  1e-01 391:22.1
   38   2128 2.008599214724314e+01 4.3e+00 3.17e-01  5e-02  1e-01 402:01.1
   39   2184 1.986065272912436e+01 4.1e+00 2.80e-01  4e-02  1e-01 412:32.9
   40   2240 1.988414725853471e+01 4.0e+00 2.80e-01  4e-02  1e-01 423:10.7
   41   2296 1.964579371881991e+01 4.3e+00 2.80e-01  3e-02  1e-01 433:43.8
   42   2352 1.989129759182094e+01 4.3e+00 2.44e-01  3e-02  8e-02 444:19.4
   43   2408 1.975963966165275e+01 4.5e+00 2.41e-01  3e-02  7e-02 454:53.6
   44   2464 1.975631089079129e+01 4.4e+00 2.45e-01  3e-02  7e-02 465:28.4
   45   2520 1.976279916174347e+01 4.8e+00 2.22e-01  2e-02  6e-02 475:58.3
   46   2576 1.972004120227178e+01 4.7e+00 2.13e-01  2e-02  6e-02 486:28.8
   47   2632 1.974071710627974e+01 5.0e+00 1.90e-01  2e-02  5e-02 496:59.8
   48   2688 1.970269045743608e+01 5.1e+00 1.69e-01  1e-02  4e-02 507:38.5
   49   2744 1.969957940435647e+01 5.2e+00 1.83e-01  1e-02  4e-02 518:12.9
   50   2800 1.967039195423873e+01 5.5e+00 1.66e-01  1e-02  4e-02 528:45.8
   51   2856 1.965258641787856e+01 6.0e+00 1.51e-01  9e-03  3e-02 539:24.4
   52   2912 1.963637443286018e+01 6.2e+00 1.46e-01  8e-03  3e-02 550:00.2
   53   2968 1.956674705922018e+01 6.6e+00 1.39e-01  7e-03  3e-02 560:37.6
   54   3024 1.958708254382814e+01 6.8e+00 1.32e-01  6e-03  2e-02 571:13.5
   55   3080 1.957425307434918e+01 7.4e+00 1.32e-01  5e-03  2e-02 581:49.0
   56   3136 1.955849389203214e+01 7.4e+00 1.28e-01  5e-03  2e-02 592:26.3
   57   3192 1.956736130931508e+01 7.6e+00 1.25e-01  4e-03  2e-02 603:00.6
   58   3248 1.956477357674594e+01 8.1e+00 1.11e-01  4e-03  2e-02 613:39.0
   59   3304 1.955157122349399e+01 8.8e+00 9.67e-02  3e-03  2e-02 624:14.4
   60   3360 1.954012286979088e+01 8.8e+00 9.99e-02  3e-03  1e-02 634:48.2
   61   3416 1.955032560665826e+01 8.7e+00 9.45e-02  3e-03  1e-02 645:22.2
   62   3472 1.954727484332035e+01 9.8e+00 8.41e-02  2e-03  1e-02 655:53.2
   63   3528 1.954013064275185e+01 1.1e+01 8.24e-02  2e-03  1e-02 666:28.1
   64   3584 1.953972681519674e+01 1.2e+01 7.70e-02  2e-03  1e-02 677:05.4
   65   3640 1.953496624767311e+01 1.1e+01 6.89e-02  2e-03  9e-03 687:40.5
   66   3696 1.953303357682648e+01 1.1e+01 6.67e-02  1e-03  8e-03 698:18.3
   67   3752 1.952832025811074e+01 1.1e+01 6.94e-02  1e-03  8e-03 708:52.2
   68   3808 1.952412468231156e+01 1.2e+01 7.35e-02  1e-03  9e-03 719:25.5
   69   3864 1.952147754925458e+01 1.3e+01 7.19e-02  1e-03  8e-03 730:02.7
   70   3920 1.952217145205095e+01 1.4e+01 7.05e-02  1e-03  8e-03 740:39.2
   71   3976 1.952191386434942e+01 1.5e+01 6.95e-02  1e-03  7e-03 751:16.2
   72   4032 1.952021866450597e+01 1.5e+01 6.32e-02  8e-04  6e-03 761:49.4
   73   4088 1.951992120651257e+01 1.5e+01 5.53e-02  7e-04  5e-03 772:23.7
   74   4144 1.951932137143732e+01 1.6e+01 5.50e-02  6e-04  5e-03 782:59.1
   75   4200 1.951922978847348e+01 1.6e+01 5.66e-02  6e-04  5e-03 793:34.3
   76   4256 1.951857216739959e+01 1.7e+01 5.11e-02  5e-04  4e-03 804:07.5
   77   4312 1.951800448043447e+01 1.8e+01 5.22e-02  5e-04  4e-03 814:40.5
   78   4368 1.951672788151489e+01 1.7e+01 5.05e-02  5e-04  3e-03 825:12.7
   79   4424 1.951704728296284e+01 1.7e+01 5.08e-02  5e-04  3e-03 835:48.7
   80   4480 1.951487514880863e+01 1.7e+01 5.25e-02  5e-04  3e-03 846:24.6
   81   4536 1.951633604901515e+01 1.6e+01 4.47e-02  4e-04  3e-03 857:05.4
   82   4592 1.951585300477595e+01 1.7e+01 4.15e-02  3e-04  2e-03 867:43.2
   83   4648 1.951506081644735e+01 1.7e+01 4.04e-02  3e-04  2e-03 878:21.3
   84   4704 1.951493605904081e+01 1.7e+01 4.19e-02  3e-04  2e-03 888:51.9
   85   4760 1.951558266547872e+01 1.8e+01 4.09e-02  3e-04  2e-03 899:21.7
   86   4816 1.951423408331108e+01 2.0e+01 3.73e-02  3e-04  2e-03 909:58.4
   87   4872 1.951447543538479e+01 2.0e+01 3.41e-02  2e-04  2e-03 920:31.7
   88   4928 1.951422252059374e+01 2.1e+01 3.22e-02  2e-04  1e-03 931:08.2
   89   4984 1.951420962692510e+01 2.2e+01 2.99e-02  2e-04  1e-03 941:43.5
   90   5040 1.951393441256929e+01 2.4e+01 2.71e-02  2e-04  1e-03 952:18.3
   91   5096 1.951358803023590e+01 2.2e+01 2.66e-02  2e-04  1e-03 962:54.3
   92   5152 1.951364651591175e+01 2.1e+01 2.67e-02  1e-04  9e-04 973:30.6
   93   5208 1.951354947467857e+01 2.1e+01 2.26e-02  1e-04  7e-04 984:06.1
   94   5264 1.951341806780657e+01 2.2e+01 2.24e-02  1e-04  7e-04 994:42.2
   95   5320 1.951340407498854e+01 2.3e+01 2.03e-02  9e-05  6e-04 1005:18.7
   96   5376 1.951342005812504e+01 2.4e+01 2.05e-02  9e-05  6e-04 1015:55.3
   97   5432 1.951329096312029e+01 2.6e+01 1.75e-02  7e-05  4e-04 1026:27.3
   98   5488 1.951329275025178e+01 2.6e+01 1.60e-02  6e-05  4e-04 1037:00.9
   99   5544 1.951324924867264e+01 2.7e+01 1.47e-02  5e-05  3e-04 1047:36.6
  100   5600 1.951321898972403e+01 2.8e+01 1.50e-02  5e-05  3e-04 1058:09.1
  101   5656 1.951324417703058e+01 2.9e+01 1.46e-02  5e-05  3e-04 1068:43.6
  102   5712 1.951319472485436e+01 3.0e+01 1.38e-02  5e-05  3e-04 1079:16.1
  103   5768 1.951317967108242e+01 3.2e+01 1.28e-02  4e-05  2e-04 1089:55.9
  104   5824 1.951319168346102e+01 3.5e+01 1.14e-02  3e-05  2e-04 1100:32.7
  105   5880 1.951314160398287e+01 3.6e+01 1.09e-02  3e-05  2e-04 1111:04.2
  106   5936 1.951314132453725e+01 3.8e+01 1.03e-02  3e-05  2e-04 1121:40.4
  107   5992 1.951312267546240e+01 4.3e+01 9.16e-03  2e-05  1e-04 1132:19.9
  108   6048 1.951313213779503e+01 4.4e+01 8.27e-03  2e-05  1e-04 1142:56.0
  109   6104 1.951312633335629e+01 4.6e+01 7.65e-03  2e-05  1e-04 1153:32.6
  110   6160 1.951312662890804e+01 4.9e+01 7.01e-03  2e-05  1e-04 1164:04.1
  111   6216 1.951312509848121e+01 5.3e+01 6.58e-03  1e-05  9e-05 1174:41.4
  112   6272 1.951311519208337e+01 5.2e+01 6.07e-03  1e-05  8e-05 1185:14.0
  113   6328 1.951310042424556e+01 5.8e+01 6.14e-03  1e-05  9e-05 1195:52.0
  114   6384 1.951309678904252e+01 6.7e+01 6.30e-03  1e-05  1e-04 1206:29.2
  115   6440 1.951309835533162e+01 7.1e+01 6.49e-03  1e-05  1e-04 1216:59.2
  116   6496 1.951309973758170e+01 8.2e+01 6.52e-03  1e-05  1e-04 1227:35.6
  117   6552 1.951309820337733e+01 9.2e+01 6.70e-03  1e-05  1e-04 1238:09.9
  118   6608 1.951310283560249e+01 1.1e+02 5.62e-03  1e-05  1e-04 1248:45.4
  119   6664 1.951309336418574e+01 1.2e+02 5.10e-03  9e-06  9e-05 1259:19.7
  120   6720 1.951309191871442e+01 1.2e+02 5.10e-03  9e-06  9e-05 1269:54.4
  121   6776 1.951309057611563e+01 1.4e+02 5.17e-03  8e-06  1e-04 1280:29.7
  122   6832 1.951309295298806e+01 1.6e+02 4.97e-03  8e-06  9e-05 1291:08.2
  123   6888 1.951309110843873e+01 1.8e+02 4.98e-03  7e-06  9e-05 1301:38.3
  124   6944 1.951308597500002e+01 2.0e+02 4.69e-03  7e-06  8e-05 1312:13.1
  125   7000 1.951308731246146e+01 2.0e+02 4.39e-03  6e-06  8e-05 1322:49.8
  126   7056 1.951308758124981e+01 2.2e+02 3.65e-03  5e-06  6e-05 1333:27.1
  127   7112 1.951308571644540e+01 2.3e+02 4.42e-03  6e-06  7e-05 1344:00.6
  128   7168 1.951308626708627e+01 2.3e+02 3.89e-03  5e-06  6e-05 1354:30.3
  129   7224 1.951308492911915e+01 2.3e+02 3.69e-03  4e-06  5e-05 1365:10.8
  130   7280 1.951308469423023e+01 2.6e+02 3.32e-03  4e-06  5e-05 1375:45.5
  131   7336 1.951308304329670e+01 2.6e+02 3.14e-03  3e-06  4e-05 1386:21.0
  132   7392 1.951308267028726e+01 2.8e+02 3.28e-03  3e-06  4e-05 1396:57.2
  133   7448 1.951308294648433e+01 2.7e+02 3.16e-03  3e-06  4e-05 1407:31.0
  134   7504 1.951308321994514e+01 2.8e+02 3.31e-03  3e-06  4e-05 1418:04.6
  135   7560 1.951308286947825e+01 3.0e+02 3.18e-03  3e-06  4e-05 1428:42.7
  136   7616 1.951308263886357e+01 3.2e+02 3.05e-03  2e-06  4e-05 1439:14.8
  137   7672 1.951308300536111e+01 3.5e+02 2.69e-03  2e-06  3e-05 1449:53.0
termination on timeout=86400
final/bestever f-value = 1.951308e+01 1.951308e+01 after 7672/7572 evaluations
incumbent solution: [0.22202055337910545, -1.0765513777679299, 0.08169307800678621, -0.02540515432381213, 0.060818735723092286, 0.00042808760422898516, -0.3269770377570107, -0.11686226552998236]
std deviation: [8.539089884930839e-06, 1.0293353202040252e-05, 3.4080281624553795e-05, 5.770675384382904e-06, 1.3372280961971282e-05, 2.0832677030769105e-06, 6.510738424235797e-06, 8.47501599494067e-06]
