runid: 21342433
CPUs available: 56
Disorder: (0.0005, 20)
Disorder size: 20
Unoptimised score: 23.859797049631403
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=367173, Sat Mar 29 13:18:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.320729911983568e+01 1.0e+00 4.53e-01  4e-01  4e-01 10:42.6
    2    112 2.261738622132731e+01 1.2e+00 4.30e-01  4e-01  4e-01 21:26.3
    3    168 2.267615023571121e+01 1.3e+00 4.00e-01  3e-01  4e-01 32:08.7
    4    224 2.206472925637061e+01 1.4e+00 3.62e-01  3e-01  3e-01 42:49.2
    5    280 2.182686940747011e+01 1.6e+00 3.10e-01  2e-01  3e-01 53:32.7
    6    336 2.120541352813001e+01 1.8e+00 3.13e-01  2e-01  3e-01 64:15.4
    7    392 2.100777188418544e+01 2.0e+00 3.39e-01  2e-01  3e-01 74:57.9
    8    448 2.156307895551964e+01 2.4e+00 3.85e-01  2e-01  4e-01 85:38.2
    9    504 2.127267545242475e+01 2.8e+00 4.05e-01  2e-01  4e-01 96:22.3
   10    560 2.109739460286889e+01 3.2e+00 3.85e-01  2e-01  4e-01 106:59.6
   11    616 2.105499524254946e+01 3.3e+00 3.23e-01  1e-01  3e-01 117:40.9
   12    672 2.097413747604662e+01 3.7e+00 3.19e-01  1e-01  3e-01 128:25.9
   13    728 2.086275939552553e+01 4.2e+00 3.15e-01  1e-01  3e-01 139:12.8
   14    784 2.049164637896506e+01 4.3e+00 2.88e-01  1e-01  2e-01 149:54.0
   15    840 2.029033156125619e+01 4.4e+00 2.46e-01  8e-02  2e-01 160:35.5
   16    896 2.054166802722734e+01 4.9e+00 2.50e-01  8e-02  2e-01 171:16.3
   17    952 1.999748041353732e+01 5.7e+00 2.50e-01  7e-02  2e-01 181:59.2
   18   1008 2.024108931035126e+01 6.2e+00 2.63e-01  7e-02  2e-01 192:40.3
   19   1064 2.006974745787039e+01 7.4e+00 2.72e-01  6e-02  2e-01 203:23.8
   20   1120 1.985006976761325e+01 8.2e+00 2.74e-01  5e-02  2e-01 214:07.8
   21   1176 1.999973267033178e+01 8.9e+00 2.59e-01  5e-02  2e-01 224:53.8
   22   1232 2.000941482729776e+01 9.0e+00 2.28e-01  4e-02  2e-01 235:33.8
   23   1288 2.001883181605562e+01 1.0e+01 2.17e-01  4e-02  2e-01 246:18.6
   24   1344 1.988114248975942e+01 1.1e+01 2.13e-01  4e-02  2e-01 257:00.8
   25   1400 1.982181607976384e+01 1.4e+01 2.05e-01  4e-02  2e-01 267:47.5
   26   1456 1.987413855211367e+01 1.6e+01 2.03e-01  3e-02  2e-01 278:28.9
   27   1512 1.977278205940774e+01 1.8e+01 2.12e-01  3e-02  2e-01 289:14.2
   28   1568 1.974428475411282e+01 2.0e+01 2.15e-01  3e-02  2e-01 299:54.4
   29   1624 1.965792322593340e+01 2.1e+01 2.08e-01  3e-02  2e-01 310:35.5
   30   1680 1.969049741584167e+01 2.4e+01 2.19e-01  3e-02  2e-01 321:18.0
   31   1736 1.974253061446309e+01 2.5e+01 2.03e-01  3e-02  2e-01 331:57.9
   32   1792 1.969505251952094e+01 2.8e+01 2.02e-01  2e-02  2e-01 342:39.7
   33   1848 1.970427788613415e+01 2.8e+01 2.04e-01  2e-02  2e-01 353:19.7
   34   1904 1.980212508993172e+01 2.7e+01 2.00e-01  2e-02  2e-01 364:04.3
   35   1960 1.972227395793110e+01 2.6e+01 1.92e-01  2e-02  2e-01 374:48.9
   36   2016 1.961835891388560e+01 2.7e+01 1.75e-01  2e-02  1e-01 385:33.5
   37   2072 1.967371757418935e+01 2.9e+01 1.80e-01  2e-02  1e-01 396:13.6
   38   2128 1.963401940864858e+01 2.5e+01 1.68e-01  1e-02  1e-01 406:56.6
   39   2184 1.960051270938957e+01 2.3e+01 1.54e-01  1e-02  8e-02 417:36.3
   40   2240 1.959585812109844e+01 2.1e+01 1.32e-01  1e-02  6e-02 428:21.4
   41   2296 1.954868333606534e+01 2.1e+01 1.14e-01  8e-03  5e-02 439:06.8
   42   2352 1.952439492473615e+01 2.1e+01 1.14e-01  7e-03  5e-02 449:49.5
   43   2408 1.951897256526274e+01 2.2e+01 1.23e-01  8e-03  5e-02 460:29.9
   44   2464 1.953556569663647e+01 2.0e+01 1.20e-01  8e-03  5e-02 471:12.5
