CPUs available: 56
Disorder: (0.0005, 30)
Disorder size: 30
Unoptimised score: 23.10418081243911
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=976475, Tue Mar 25 04:17:24 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.260764932415384e+01 1.0e+00 4.61e-01  4e-01  4e-01 11:59.5
    2    112 2.144374059226706e+01 1.1e+00 4.55e-01  4e-01  4e-01 24:00.8
    3    168 2.149750572423913e+01 1.2e+00 4.24e-01  3e-01  4e-01 36:03.0
    4    224 2.127950249638947e+01 1.3e+00 4.36e-01  3e-01  4e-01 48:02.8
    5    280 2.054536845652726e+01 1.4e+00 4.33e-01  3e-01  3e-01 60:04.2
    6    336 2.070874368439914e+01 1.5e+00 4.79e-01  3e-01  4e-01 72:10.7
    7    392 2.042649130356315e+01 1.8e+00 4.36e-01  2e-01  3e-01 84:11.1
    8    448 2.025263168260873e+01 1.9e+00 4.32e-01  2e-01  3e-01 96:10.4
    9    504 2.038083016708316e+01 2.0e+00 4.35e-01  2e-01  3e-01 108:08.9
   10    560 1.992064598025713e+01 2.1e+00 4.01e-01  2e-01  3e-01 120:06.2
   11    616 1.933386436788832e+01 2.4e+00 4.00e-01  1e-01  3e-01 132:06.7
   12    672 1.961109096967121e+01 2.6e+00 4.48e-01  1e-01  3e-01 144:07.0
   13    728 1.957027070939631e+01 3.1e+00 4.61e-01  1e-01  3e-01 156:04.8
   14    784 1.913992413085944e+01 3.3e+00 4.26e-01  1e-01  3e-01 168:06.9
   15    840 1.982406189081779e+01 3.5e+00 4.78e-01  1e-01  3e-01 180:05.1
   16    896 1.972580126531374e+01 4.0e+00 4.69e-01  1e-01  3e-01 192:03.6
   17    952 1.936970376802878e+01 4.3e+00 4.14e-01  8e-02  3e-01 204:06.2
   18   1008 1.956570777133448e+01 4.3e+00 3.93e-01  7e-02  2e-01 216:05.7
   19   1064 1.958955663040204e+01 4.5e+00 3.92e-01  6e-02  2e-01 228:06.9
   20   1120 1.899319913173680e+01 4.9e+00 4.04e-01  6e-02  2e-01 240:07.8
   21   1176 1.812880215948762e+01 5.7e+00 4.12e-01  6e-02  3e-01 252:08.1
   22   1232 1.850068698494626e+01 6.7e+00 3.92e-01  5e-02  2e-01 264:09.5
   23   1288 1.894479864841498e+01 7.0e+00 3.85e-01  5e-02  2e-01 276:10.7
   24   1344 1.867247284890589e+01 7.5e+00 3.59e-01  4e-02  2e-01 288:12.3
   25   1400 1.893416551941796e+01 7.4e+00 3.54e-01  4e-02  2e-01 300:11.2
   26   1456 1.874196484349687e+01 8.4e+00 3.44e-01  4e-02  2e-01 312:11.4
   27   1512 1.841874149099379e+01 8.9e+00 3.89e-01  4e-02  2e-01 324:15.0
