runid: 21342428
CPUs available: 56
Disorder: (0.0005, 40)
Disorder size: 40
Unoptimised score: 23.39567048673141
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=342386, Fri Mar 28 13:14:39 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.195394748897087e+01 1.0e+00 4.57e-01  4e-01  5e-01 10:36.5
    2    112 2.205534717209112e+01 1.3e+00 4.01e-01  3e-01  4e-01 21:17.4
    3    168 2.165729561588475e+01 1.3e+00 4.06e-01  3e-01  4e-01 31:58.4
    4    224 2.048693879060472e+01 1.5e+00 4.35e-01  3e-01  4e-01 42:36.2
    5    280 2.111753723062530e+01 1.7e+00 4.23e-01  3e-01  4e-01 53:14.0
    6    336 2.011638797407433e+01 1.9e+00 4.67e-01  3e-01  4e-01 63:54.9
    7    392 2.034407182901877e+01 1.9e+00 4.98e-01  3e-01  4e-01 74:35.4
    8    448 2.069620396133918e+01 2.0e+00 4.82e-01  2e-01  4e-01 85:12.7
    9    504 2.057884891930087e+01 2.1e+00 4.22e-01  2e-01  4e-01 95:55.1
   10    560 2.044524224835082e+01 2.5e+00 3.78e-01  1e-01  3e-01 106:32.7
   11    616 1.996723099677516e+01 2.7e+00 3.59e-01  1e-01  3e-01 117:10.7
   12    672 2.042984049541553e+01 2.7e+00 3.53e-01  1e-01  3e-01 127:51.2
   13    728 1.946579866968383e+01 2.9e+00 3.31e-01  9e-02  3e-01 138:29.5
   14    784 1.947287079731603e+01 3.4e+00 3.71e-01  9e-02  3e-01 149:08.1
   15    840 1.950642771723131e+01 3.9e+00 3.66e-01  9e-02  3e-01 159:49.2
   16    896 2.000830971451483e+01 4.1e+00 4.00e-01  8e-02  3e-01 170:31.6
   17    952 1.915368572471064e+01 4.6e+00 4.38e-01  9e-02  3e-01 181:08.3
   18   1008 1.952812288141214e+01 5.5e+00 4.21e-01  8e-02  3e-01 191:48.3
   19   1064 1.913332102684014e+01 5.8e+00 3.70e-01  6e-02  3e-01 202:31.6
   20   1120 1.918936310712997e+01 5.7e+00 3.45e-01  6e-02  2e-01 213:11.3
   21   1176 1.891411583246292e+01 6.2e+00 3.54e-01  6e-02  2e-01 223:48.7
   22   1232 1.885460734419024e+01 6.6e+00 3.22e-01  5e-02  2e-01 234:27.3
   23   1288 1.894410993594244e+01 7.1e+00 2.84e-01  4e-02  2e-01 245:06.3
   24   1344 1.903165354131154e+01 7.8e+00 2.83e-01  4e-02  2e-01 255:47.7
   25   1400 1.899394807097129e+01 8.5e+00 2.52e-01  3e-02  1e-01 266:29.1
   26   1456 1.894235944654930e+01 9.0e+00 2.41e-01  3e-02  1e-01 277:08.6
   27   1512 1.889797912721468e+01 9.9e+00 2.12e-01  2e-02  1e-01 287:48.3
   28   1568 1.883280809209096e+01 1.0e+01 2.34e-01  2e-02  1e-01 298:25.1
   29   1624 1.875712234051404e+01 1.2e+01 2.29e-01  2e-02  1e-01 309:05.0
   30   1680 1.862102872208922e+01 1.2e+01 2.50e-01  3e-02  1e-01 319:41.6
   31   1736 1.831856837761020e+01 1.4e+01 2.73e-01  3e-02  1e-01 330:17.3
   32   1792 1.846719211527183e+01 1.5e+01 3.06e-01  4e-02  2e-01 340:56.6
   33   1848 1.822950214166461e+01 1.7e+01 3.35e-01  4e-02  2e-01 351:36.0
   34   1904 1.821298927362806e+01 1.9e+01 3.49e-01  4e-02  2e-01 362:34.5
   35   1960 1.819632369704023e+01 1.9e+01 3.23e-01  3e-02  2e-01 373:17.9
   36   2016 1.832931827522959e+01 2.1e+01 3.25e-01  3e-02  1e-01 384:01.1
   37   2072 1.816199729893326e+01 2.2e+01 3.46e-01  3e-02  2e-01 394:38.4
   38   2128 1.807908904016249e+01 2.0e+01 3.31e-01  3e-02  2e-01 405:18.4
   39   2184 1.815943902045699e+01 1.8e+01 3.55e-01  3e-02  2e-01 415:57.5
   40   2240 1.819124555572686e+01 2.0e+01 3.76e-01  2e-02  2e-01 426:37.7
   41   2296 1.817149000695185e+01 2.1e+01 3.64e-01  2e-02  2e-01 437:14.4
   42   2352 1.810590668601567e+01 2.2e+01 3.39e-01  2e-02  2e-01 447:53.5
   43   2408 1.807842896796347e+01 2.2e+01 3.21e-01  2e-02  1e-01 458:33.4
   44   2464 1.809961489410593e+01 2.1e+01 3.14e-01  1e-02  1e-01 469:12.6
   45   2520 1.811352720529401e+01 2.0e+01 3.37e-01  1e-02  1e-01 479:52.5
   46   2576 1.812365260211423e+01 1.9e+01 3.03e-01  1e-02  1e-01 490:35.2
   47   2632 1.809052633467225e+01 2.2e+01 2.91e-01  9e-03  9e-02 501:14.0
   48   2688 1.805603817491865e+01 2.4e+01 2.90e-01  9e-03  9e-02 511:55.1
   49   2744 1.806126468792028e+01 2.6e+01 2.76e-01  8e-03  8e-02 522:33.2
   50   2800 1.807016058633902e+01 2.7e+01 2.54e-01  6e-03  7e-02 533:11.8
   51   2856 1.806288159374119e+01 2.9e+01 2.69e-01  6e-03  7e-02 543:50.1
   52   2912 1.805757687783550e+01 2.9e+01 2.72e-01  6e-03  8e-02 554:28.5
   53   2968 1.805489129158589e+01 3.0e+01 2.82e-01  6e-03  7e-02 565:09.3
   54   3024 1.804992866794044e+01 3.1e+01 2.85e-01  6e-03  7e-02 575:49.0
   55   3080 1.804216645085824e+01 3.3e+01 3.17e-01  7e-03  8e-02 586:27.4
   56   3136 1.804184526091803e+01 3.4e+01 2.85e-01  6e-03  6e-02 597:06.2
   57   3192 1.803006901615445e+01 3.3e+01 2.97e-01  6e-03  7e-02 607:44.8
   58   3248 1.801384997293310e+01 3.5e+01 2.97e-01  6e-03  6e-02 618:22.0
   59   3304 1.801690217835705e+01 3.8e+01 2.79e-01  5e-03  5e-02 629:01.7
   60   3360 1.801871353397188e+01 3.6e+01 2.40e-01  4e-03  4e-02 639:40.2
   61   3416 1.801293236652341e+01 3.6e+01 2.18e-01  4e-03  4e-02 650:19.5
   62   3472 1.800603069247746e+01 3.4e+01 2.37e-01  4e-03  4e-02 661:01.4
   63   3528 1.800158244852878e+01 3.8e+01 2.27e-01  3e-03  4e-02 671:39.0
   64   3584 1.799910912877641e+01 3.5e+01 1.96e-01  3e-03  3e-02 682:23.8
   65   3640 1.799886776334236e+01 3.4e+01 1.97e-01  2e-03  3e-02 693:01.5
   66   3696 1.799707535318748e+01 3.5e+01 1.84e-01  2e-03  2e-02 703:42.4
   67   3752 1.799972551520195e+01 3.4e+01 1.60e-01  2e-03  2e-02 714:19.9
   68   3808 1.799649470567827e+01 3.3e+01 1.52e-01  1e-03  2e-02 725:01.0
   69   3864 1.799540511189491e+01 3.2e+01 1.49e-01  1e-03  2e-02 735:41.9
   70   3920 1.799388884538539e+01 3.0e+01 1.31e-01  1e-03  1e-02 746:26.0
   71   3976 1.799437237431207e+01 2.9e+01 1.29e-01  1e-03  1e-02 757:06.7
   72   4032 1.799403471900761e+01 2.9e+01 1.22e-01  9e-04  1e-02 767:45.1
   73   4088 1.799339638688949e+01 2.7e+01 1.07e-01  7e-04  8e-03 778:24.0
   74   4144 1.799202430185487e+01 2.8e+01 1.16e-01  7e-04  9e-03 789:02.0
   75   4200 1.799292489166161e+01 2.8e+01 1.05e-01  6e-04  8e-03 799:42.3
   76   4256 1.799237612269946e+01 3.1e+01 9.85e-02  5e-04  7e-03 810:21.1
   77   4312 1.799232663135266e+01 3.0e+01 1.03e-01  5e-04  7e-03 820:59.9
   78   4368 1.799163818410038e+01 3.2e+01 9.89e-02  5e-04  6e-03 831:42.4
   79   4424 1.799168513162770e+01 3.3e+01 8.95e-02  4e-04  5e-03 842:20.5
   80   4480 1.799173182288078e+01 3.4e+01 8.12e-02  4e-04  4e-03 852:58.7
   81   4536 1.799175399627585e+01 3.4e+01 7.45e-02  3e-04  4e-03 863:37.0
   82   4592 1.799128165642999e+01 3.6e+01 6.83e-02  3e-04  3e-03 874:15.5
   83   4648 1.799123173302565e+01 3.6e+01 6.13e-02  2e-04  3e-03 884:54.4
   84   4704 1.799138001634132e+01 3.7e+01 6.50e-02  2e-04  3e-03 895:35.1
   85   4760 1.799132693000773e+01 4.0e+01 6.25e-02  2e-04  3e-03 906:11.4
   86   4816 1.799128409660117e+01 4.6e+01 6.12e-02  2e-04  3e-03 916:53.8
   87   4872 1.799116890002549e+01 4.7e+01 5.52e-02  2e-04  3e-03 927:32.5
   88   4928 1.799120298352770e+01 5.3e+01 5.26e-02  2e-04  2e-03 938:12.1
   89   4984 1.799113921100884e+01 5.6e+01 5.20e-02  2e-04  2e-03 948:49.0
   90   5040 1.799112638803510e+01 6.3e+01 5.18e-02  2e-04  2e-03 959:32.0
   91   5096 1.799115114845454e+01 6.7e+01 4.66e-02  1e-04  2e-03 970:09.6
   92   5152 1.799105288466897e+01 7.0e+01 4.76e-02  1e-04  2e-03 980:50.7
   93   5208 1.799106388068865e+01 7.6e+01 4.79e-02  1e-04  2e-03 991:32.1
   94   5264 1.799105642199507e+01 8.1e+01 4.75e-02  1e-04  2e-03 1002:11.9
   95   5320 1.799105355823004e+01 8.0e+01 4.57e-02  1e-04  2e-03 1012:49.9
   96   5376 1.799104306754275e+01 8.2e+01 4.38e-02  1e-04  1e-03 1023:27.1
   97   5432 1.799100364271049e+01 8.2e+01 4.29e-02  1e-04  1e-03 1034:04.2
   98   5488 1.799098717824868e+01 9.2e+01 3.70e-02  8e-05  1e-03 1044:42.2
