CPUs available: 56
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=648028, Thu Mar 20 18:26:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.318425977486982e+01 1.0e+00 4.84e-01  4e-01  5e-01 10:28.9
    2    112 2.234691728165671e+01 1.2e+00 4.28e-01  4e-01  4e-01 21:01.7
    3    168 2.193975508509572e+01 1.3e+00 4.23e-01  3e-01  4e-01 31:36.2
    4    224 2.120472151589749e+01 1.4e+00 3.83e-01  3e-01  4e-01 42:10.0
    5    280 2.175824316957985e+01 1.6e+00 3.52e-01  2e-01  3e-01 52:43.7
    6    336 1.974411761812520e+01 1.7e+00 3.47e-01  2e-01  3e-01 63:16.9
    7    392 2.047798300897554e+01 1.7e+00 3.62e-01  2e-01  3e-01 73:51.9
    8    448 2.032073290294786e+01 1.9e+00 3.43e-01  2e-01  3e-01 84:23.9
    9    504 1.994633330123766e+01 2.2e+00 3.35e-01  1e-01  3e-01 94:54.2
   10    560 2.011009857104293e+01 2.6e+00 3.46e-01  1e-01  3e-01 105:27.5
   11    616 1.973415034822519e+01 3.0e+00 3.53e-01  1e-01  3e-01 116:01.5
   12    672 2.007329582334836e+01 3.3e+00 3.14e-01  1e-01  3e-01 126:35.1
   13    728 1.937618462271772e+01 3.5e+00 3.14e-01  8e-02  2e-01 137:10.3
   14    784 1.905331952882233e+01 3.6e+00 2.97e-01  7e-02  2e-01 147:42.9
   15    840 1.888751435530544e+01 3.8e+00 3.46e-01  8e-02  3e-01 158:14.4
   16    896 1.881770208073154e+01 4.7e+00 3.17e-01  7e-02  2e-01 168:51.9
   17    952 1.947943835931587e+01 4.7e+00 2.74e-01  5e-02  2e-01 179:20.7
   18   1008 1.909550596349145e+01 4.9e+00 2.97e-01  5e-02  2e-01 189:55.3
   19   1064 1.897243192460375e+01 5.9e+00 3.00e-01  5e-02  2e-01 200:28.2
   20   1120 1.842630831439347e+01 6.1e+00 3.15e-01  5e-02  2e-01 211:00.7
   21   1176 1.859649317567111e+01 7.2e+00 2.96e-01  4e-02  2e-01 221:31.8
   22   1232 1.864852596384925e+01 7.3e+00 2.78e-01  4e-02  2e-01 232:07.3
   23   1288 1.850970208339342e+01 7.7e+00 2.54e-01  3e-02  2e-01 242:40.9
   24   1344 1.844461969274192e+01 7.9e+00 2.68e-01  3e-02  2e-01 253:17.4
   25   1400 1.845429311968841e+01 8.1e+00 2.47e-01  3e-02  1e-01 263:53.9
   26   1456 1.853494980827006e+01 8.6e+00 2.53e-01  2e-02  2e-01 274:27.8
   27   1512 1.843587484831133e+01 9.6e+00 2.38e-01  2e-02  2e-01 285:02.6
   28   1568 1.858066522553127e+01 1.1e+01 2.07e-01  2e-02  1e-01 295:37.6
   29   1624 1.839656200107624e+01 1.2e+01 2.29e-01  2e-02  2e-01 306:06.6
   30   1680 1.826721218237991e+01 1.5e+01 2.34e-01  2e-02  2e-01 316:41.0
   31   1736 1.828431342272029e+01 1.7e+01 2.13e-01  2e-02  1e-01 327:17.7
   32   1792 1.831069397969413e+01 1.8e+01 2.20e-01  2e-02  2e-01 337:50.7
   33   1848 1.824664138606848e+01 2.0e+01 2.19e-01  1e-02  2e-01 348:29.4
   34   1904 1.825022880523809e+01 2.1e+01 2.14e-01  1e-02  2e-01 359:03.3
   35   1960 1.818650623629890e+01 2.2e+01 2.04e-01  1e-02  1e-01 369:38.1
   36   2016 1.815694634466369e+01 2.2e+01 2.10e-01  1e-02  1e-01 380:13.3
   37   2072 1.809274870286741e+01 2.3e+01 1.91e-01  1e-02  1e-01 390:44.2
   38   2128 1.816306571186216e+01 2.4e+01 1.76e-01  9e-03  1e-01 401:17.7
   39   2184 1.803203795512680e+01 2.5e+01 1.78e-01  8e-03  1e-01 411:52.3
