runid: 21362542
CPUs available: 56
Disorder: None
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=713406, Wed Apr  2 19:05:20 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.190539183348834e+01 1.0e+00 4.38e-01  4e-01  4e-01 10:32.0
    2    112 2.200936467990778e+01 1.2e+00 4.21e-01  4e-01  4e-01 21:02.5
    3    168 2.123891619173320e+01 1.4e+00 4.28e-01  3e-01  4e-01 31:34.8
    4    224 2.051362278607084e+01 1.5e+00 3.79e-01  3e-01  4e-01 42:06.7
    5    280 2.045952492083462e+01 1.5e+00 3.43e-01  2e-01  3e-01 52:36.2
    6    336 2.049573254090066e+01 1.5e+00 3.46e-01  2e-01  3e-01 63:11.5
    7    392 2.014400274119024e+01 1.8e+00 3.68e-01  2e-01  3e-01 73:45.3
    8    448 1.960447719158080e+01 2.0e+00 3.41e-01  2e-01  3e-01 84:18.5
    9    504 1.994359187729625e+01 2.2e+00 3.23e-01  1e-01  3e-01 94:51.6
   10    560 1.930177456995290e+01 2.4e+00 2.74e-01  1e-01  2e-01 105:23.1
   11    616 1.961378906690954e+01 2.8e+00 2.84e-01  9e-02  2e-01 115:55.8
   12    672 1.953834560636972e+01 3.2e+00 3.05e-01  9e-02  3e-01 126:27.2
   13    728 1.907235499213227e+01 3.6e+00 3.08e-01  8e-02  3e-01 136:59.2
   14    784 1.940943648035748e+01 4.0e+00 2.92e-01  7e-02  2e-01 147:31.2
   15    840 1.900941579254473e+01 4.3e+00 2.77e-01  6e-02  2e-01 158:04.0
   16    896 1.862754948196615e+01 4.6e+00 2.93e-01  5e-02  2e-01 168:34.7
   17    952 1.882840987641995e+01 5.2e+00 2.86e-01  5e-02  2e-01 179:09.4
   18   1008 1.876270625740194e+01 5.5e+00 2.60e-01  4e-02  2e-01 189:43.5
   19   1064 1.848822471348780e+01 5.6e+00 2.77e-01  4e-02  2e-01 200:21.0
   20   1120 1.863153999542173e+01 6.0e+00 2.85e-01  4e-02  2e-01 210:53.8
   21   1176 1.836852847462938e+01 7.2e+00 2.87e-01  3e-02  2e-01 221:28.7
   22   1232 1.830532628337217e+01 8.3e+00 2.68e-01  3e-02  2e-01 232:03.3
   23   1288 1.863963144921133e+01 9.3e+00 2.27e-01  2e-02  1e-01 242:35.7
   24   1344 1.849802562593886e+01 9.6e+00 2.28e-01  2e-02  1e-01 253:12.7
   25   1400 1.833439407049289e+01 1.0e+01 2.02e-01  2e-02  1e-01 263:46.6
   26   1456 1.815116443157896e+01 1.2e+01 2.00e-01  2e-02  1e-01 274:23.5
   27   1512 1.820198954469536e+01 1.4e+01 2.15e-01  2e-02  1e-01 284:57.7
   28   1568 1.826542092497865e+01 1.6e+01 2.13e-01  2e-02  1e-01 295:29.1
   29   1624 1.815521194521969e+01 1.7e+01 2.03e-01  1e-02  1e-01 306:02.3
   30   1680 1.810427212748539e+01 1.6e+01 1.81e-01  1e-02  9e-02 316:33.8
   31   1736 1.812311150385723e+01 1.6e+01 1.68e-01  1e-02  8e-02 327:06.6
   32   1792 1.812833843665200e+01 1.5e+01 1.69e-01  9e-03  7e-02 337:43.9
   33   1848 1.808961481624961e+01 1.4e+01 1.70e-01  9e-03  7e-02 348:17.7
