runid: 21362563
CPUs available: 56
Disorder: None
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=948390, Sat Apr  5 08:52:23 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     56 2.221136293046305e+01 1.0e+00 4.47e-01  4e-01  4e-01 10:39.1
    2    112 2.084977603826382e+01 1.2e+00 4.33e-01  4e-01  4e-01 21:20.9
    3    168 2.145494544699117e+01 1.4e+00 4.40e-01  3e-01  4e-01 32:01.5
    4    224 2.122031718744745e+01 1.5e+00 4.04e-01  3e-01  4e-01 42:46.6
    5    280 2.105076225379093e+01 1.6e+00 3.67e-01  2e-01  3e-01 53:24.9
    6    336 2.065637281808108e+01 1.6e+00 3.89e-01  2e-01  3e-01 64:08.6
    7    392 2.054819985126478e+01 1.7e+00 3.65e-01  2e-01  3e-01 74:48.4
    8    448 2.052102322980425e+01 1.9e+00 3.46e-01  2e-01  3e-01 85:32.5
    9    504 2.012771513012838e+01 2.0e+00 3.49e-01  2e-01  3e-01 96:15.6
   10    560 2.056145532863849e+01 2.3e+00 3.46e-01  1e-01  3e-01 106:57.5
   11    616 2.017892555506392e+01 2.6e+00 3.13e-01  1e-01  2e-01 117:41.2
   12    672 2.016876778493739e+01 2.7e+00 2.64e-01  8e-02  2e-01 128:22.3
   13    728 2.012700327034980e+01 3.0e+00 2.80e-01  8e-02  2e-01 139:07.0
   14    784 1.931460064535285e+01 3.5e+00 2.92e-01  7e-02  2e-01 149:49.8
   15    840 1.969333102220672e+01 3.8e+00 3.08e-01  7e-02  3e-01 160:31.1
   16    896 1.970523803875549e+01 4.5e+00 2.86e-01  6e-02  2e-01 171:10.9
   17    952 1.946777582587397e+01 5.2e+00 2.70e-01  5e-02  2e-01 181:53.5
   18   1008 1.924376308348499e+01 5.4e+00 2.74e-01  5e-02  2e-01 192:32.4
   19   1064 1.915124605414570e+01 6.6e+00 2.65e-01  5e-02  2e-01 203:15.0
   20   1120 1.907586987296784e+01 7.4e+00 2.73e-01  4e-02  3e-01 213:55.1
   21   1176 1.874125228862956e+01 8.2e+00 3.09e-01  5e-02  3e-01 224:35.8
   22   1232 1.868039249872493e+01 9.7e+00 2.97e-01  4e-02  3e-01 235:17.8
   23   1288 1.889236209599568e+01 1.0e+01 3.06e-01  4e-02  3e-01 246:01.7
   24   1344 1.909361918412312e+01 1.1e+01 3.29e-01  4e-02  3e-01 256:44.3
   25   1400 1.855559302424000e+01 1.1e+01 3.27e-01  3e-02  3e-01 267:24.3
   26   1456 1.873994886965559e+01 1.2e+01 3.20e-01  3e-02  2e-01 278:07.6
